Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight
2024-07-16,GOOGL,183.46600341796875,183.9199981689453,188.67999267578125,183.3699951171875,187.3600006103516,18290700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-17,GOOGL,180.5731658935547,181.0200042724609,183.5500030517578,179.89999389648438,182.97000122070312,20734100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-18,GOOGL,177.2513885498047,177.69000244140625,182.5,176.47000122070312,181.92999267578125,25315700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-19,GOOGL,177.22146606445312,177.66000366210938,180.2899932861328,177.1300048828125,178.8800048828125,18881900.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-22,GOOGL,181.2215576171875,181.6699981689453,182.6999969482422,180.22999572753903,180.58999633789065,24100300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-23,GOOGL,181.3412628173828,181.7899932861328,183.6100006103516,181.5399932861328,182.0500030517578,36352700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-24,GOOGL,172.20387268066406,172.6300048828125,176.19000244140625,171.82000732421875,173.60000610351562,49585200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-25,GOOGL,166.86708068847656,167.27999877929688,173.4199981689453,167.19000244140625,172.52000427246094,44852000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-26,GOOGL,166.5877685546875,167.0,168.08999633789062,164.05999755859375,167.14999389648438,41336900.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-29,GOOGL,169.1115264892578,169.52999877929688,170.42999267578125,167.99000549316406,168.8300018310547,20293800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-30,GOOGL,169.86964416503906,170.2899932861328,171.22999572753906,168.44000244140625,170.24000549316406,18959700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-31,GOOGL,171.11656188964844,171.5399932861328,174.25,170.00999450683594,173.24000549316406,25729100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-01,GOOGL,170.33848571777344,170.75999450683594,174.0500030517578,168.8800048828125,170.25,24531400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-02,GOOGL,166.2486114501953,166.66000366210938,168.50999450683594,164.6699981689453,166.44000244140625,29130100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-05,GOOGL,158.85690307617188,159.25,164.42999267578125,154.92999267578125,155.5,53630700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-06,GOOGL,157.89926147460938,158.2899932861328,160.57000732421875,156.41000366210938,159.3300018310547,49004600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-07,GOOGL,158.54766845703125,158.94000244140625,162.97999572753906,158.47000122070312,161.25,25138600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-08,GOOGL,161.63003540039062,162.02999877929688,163.69000244140625,160.2100067138672,160.50999450683594,25578800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-09,GOOGL,163.2659912109375,163.6699981689453,163.7899932861328,159.05999755859375,160.00999450683594,28602300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-12,GOOGL,161.88938903808594,162.2899932861328,164.89999389648438,161.83999633789062,164.35000610351562,15895300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-13,GOOGL,163.75477600097656,164.16000366210938,164.72999572753906,162.97000122070312,163.41000366210938,18551700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-14,GOOGL,159.97412109375,160.3699951171875,163.22000122070312,157.7100067138672,162.39999389648438,40591100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
